,Country,Region,Edition,Status,PR rating,CL rating,PR,CL,Total,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),"Seats held by women in national parliament, as of February (%)",Labour force participation - Female,Labour force participation - Male,Labour force participation - Total,Unemployment rate - Female,Unemployment rate - Male,Unemployment rate - Total,"Assault rate per 100,000 population","Intentional homicide rates per 100,000","Kidnapping at the national level, rate per 100,000","Percentage of male and female intentional homicide victims, Female","Percentage of male and female intentional homicide victims, Male","Theft at the national level, rate per 100,000 population","Total Sexual Violence at the national level, rate per 100,000","Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)",GDP in constant 2015 prices (millions of US dollars),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),Percentage of individuals using the internet
0,Afghanistan,Asia,2024,NF,7,7,1,5,6,13.4,39.5,73.2,126.1,5.4,20.0,461,4319,190.0,27.3,16.0,78.6,47.0,10.4,7.4,7.9,,3.5,,1.3,,,,16.6,19.3,28.1,,,,6916,3236,197,49.9,48.5,3.7,43.6,28.28,14.01,14.27,101.9,653.0,1.2
1,Albania,Europe,2024,PF,3,3,28,40,68,101.0,105.4,109.6,112.9,59.2,65.6,251,238,156.0,5.2,47.1,66.0,56.4,16.4,15.6,16.0,5.4,5.1,0.3,1.4,8.8,98.5,2.9,,62.3,,,33.6,27.0,4831,2393,729,13.3,21.7,15.2,106.9,2.93,1.48,1.45,97.9,29.0,0.1
2,Algeria,Africa,2024,NF,6,5,10,22,32,109.4,113.9,108.5,115.7,64.4,43.2,2438,4362,1216.0,3.2,13.1,70.9,42.5,17.2,14.9,15.3,99.9,0.7,0.3,0.4,2.4,142.4,10.6,61.1,75.1,81.7,52.4,62.0,66.6,81507,41971,1474,3.8,27.5,7.2,15.2,36.19,17.63,18.55,105.2,2382.0,0.5
3,Argentina,Americas,2024,F,2,2,35,50,85,120.0,112.1,115.0,114.5,77.8,65.6,2437,4873,1448.0,28.0,49.1,74.6,61.5,13.6,10.1,11.5,363.7,5.6,0.1,1.8,11.4,777.2,26.3,,,,,45.6,45.4,377768,279701,8004,-2.8,25.7,14.5,14.8,41.29,20.88,20.41,97.7,2796.0,7.0
4,Armenia,Eurasia,2024,PF,4,4,23,31,54,95.3,91.0,87.1,89.5,86.2,77.8,308,180,102.0,3.1,54.3,67.7,60.4,11.0,9.3,10.1,5.9,1.9,0.7,0.7,3.3,80.8,1.7,,83.2,,,12.9,3.0,3036,1372,413,6.9,19.3,14.5,103.0,2.93,1.58,1.35,84.9,30.0,1.3
5,Australia,Asia,2024,F,1,1,38,57,95,117.2,132.3,103.2,103.6,207.0,243.9,1408,1935,1301.0,22.4,57.0,72.1,64.4,5.2,4.9,5.0,311.8,1.3,2.8,0.9,1.6,2569.6,85.7,,,99.3,,94.6,,659436,392110,21780,3.9,19.1,18.9,2.9,22.14,11.12,11.02,99.1,7692.0,46.8
6,Austria,Europe,2024,F,1,1,37,56,93,101.5,102.7,101.8,102.4,94.0,102.3,399,363,382.0,26.8,51.5,66.0,58.5,5.9,5.5,5.7,43.9,0.7,0.1,0.6,0.7,2151.7,20.3,,98.4,,99.3,99.7,100.0,268468,241054,30332,2.7,14.8,23.2,101.4,8.37,4.29,4.07,94.9,84.0,33.7
7,Azerbaijan,Eurasia,2024,NF,7,7,0,7,7,89.1,92.7,92.8,98.2,57.5,66.1,813,568,231.0,10.4,62.8,70.7,66.6,7.3,7.2,7.3,1.9,2.5,0.3,1.3,3.2,24.8,2.2,58.0,65.0,90.7,,59.7,48.7,8358,3081,391,-11.8,22.3,8.3,110.7,9.15,4.75,4.4,92.6,87.0,0.1
8,Bahrain,Middle East,2024,NF,7,6,2,10,12,95.3,87.5,96.7,93.1,85.1,67.3,39,83,33.0,0.0,39.0,84.7,67.9,3.5,0.4,1.1,391.2,1.1,1.3,0.2,0.1,1070.9,13.9,,98.9,,,88.9,,12294,6787,11073,1.9,20.4,3.6,1549.5,1.21,0.46,0.75,164.3,1.0,6.2
9,Bangladesh,Asia,2024,PF,5,5,15,25,40,70.6,62.9,101.7,98.3,30.9,31.9,6233,16219,3877.0,9.1,29.0,86.7,58.1,7.0,3.3,4.3,0.4,2.5,0.9,,,8.9,,60.6,55.0,42.4,14.7,18.2,26.2,63504,37866,321,4.9,34.1,6.5,1169.3,152.2,76.49,75.71,99.0,148.0,0.1
